Lat,Long,Source
33.27325,-119.48615,SNI
33.2476333,-119.5703833,SNI
33.2476833,-119.5737333,SNI
33.21665,-119.4854167,SNI
33.21615,-119.48615,SNI
33.2168833,-119.4441167,SNI
33.2623333,-119.5801667,SNI
34.02236667,-120.3874667,KFM
34.06438333,-120.3566,KFM
33.90146667,-120.1029667,KFM
33.89753333,-120.10075,KFM
34.03261667,-120.107,KFM
33.94966667,-119.8275833,KFM
34.05635,-119.75515,KFM
34.03488333,-119.7030833,KFM
34.04798333,-119.5514,KFM
33.98983333,-119.5630667,KFM
34.00775,-119.4343833,KFM
34.01586667,-119.3717333,KFM
34.01703333,-119.3611333,KFM
33.46611667,-119.0277833,KFM
33.48753333,-119.0275833,KFM
33.46441667,-119.0391667,KFM